"id","team_id","season","league","place"
"1","1","2023","1","2"
"2","1","2022","1","5"
"3","1","2021","1","1"
"4","1","2020","1","3"
"5","1","2019","1","2"
"6","1","2018","1","3"
"7","1","2017","1","2"
"8","1","2016","1","4"
"9","1","2015","1","2"
"10","1","2014","1","6"
"11","1","2013","1","7"
"12","1","2012","1","9"
"13","1","2011","1","6"
"14","1","2010","1","4"
"15","1","2009","1","7"
"16","1","2008","1","5"
"17","1","2007","1","3"
"18","2","2023","1","1"
"19","2","2022","1","1"
"20","2","2021","1","2"
"21","2","2020","1","6"
"22","2","2019","1","6"
"23","2","2018","2","1"
"24","2","2017","3","2"
"25","2","2016",NULL,NULL
"26","2","2015","3","3"
"27","2","2014","2","8"
"28","2","2013","2","4"
"29","2","2012","2","3"
"30","2","2011","3","2"
"31","2","2010","3","2"
"32","2","2009","3","4"
"33","2","2008",NULL,NULL
"34","2","2007","2","7"
"35","3","2023","1","5"
"36","3","2022","1","2"
"37","3","2021","1","3"
"38","3","2020","1","2"
"39","3","2019","1","7"
"40","3","2018","1","2"
"41","3","2017","1","3"
"42","3","2016","1","1"
"43","3","2015","1","6"
"44","3","2014","1","1"
"45","3","2013","1","5"
"46","3","2012","1","2"
"47","3","2011","1","3"
"48","3","2010","1","6"
"49","3","2009","1","6"
"50","3","2008","1","6"
"51","3","2007","2","1"
"52","4","2023","1","6"
"53","4","2022","1","6"
"54","4","2021","1","4"
"55","4","2020","1","1"
"56","4","2019","1","1"
"57","4","2018","1","1"
"58","4","2017","1","1"
"59","4","2016","1","7"
"60","4","2015","1","1"
"61","4","2014","1","2"
"62","4","2013","1","6"
"63","4","2012","1","5"
"64","4","2011","1","2"
"65","4","2010","1","1"
"66","4","2009","1","5"
"67","4","2008","1","2"
"68","4","2007","1","1"
"69","5","2023","1","4"
"70","5","2022","1","3"
"71","5","2021","1","5"
"72","5","2020","1","5"
"73","5","2019","1","3"
"74","5","2018","1","4"
"75","5","2017","1","5"
"76","5","2016","2","3"
"77","5","2015",NULL,NULL
"78","5","2014","1","7"
"79","5","2013","1","4"
"80","5","2012","1","8"
"81","5","2011","1","8"
"82","5","2010","1","7"
"83","5","2009","1","3"
"84","5","2008","1","4"
"85","5","2007","1","5"
"86","6","2023","1","3"
"87","6","2022","1","4"
"88","6","2021","1","6"
"89","6","2020","2","1"
"90","6","2019","1","8"
"91","6","2018","1","5"
"92","6","2017","1","7"
"93","6","2016","1","2"
"94","6","2015","1","4"
"95","6","2014","1","5"
"96","6","2013","1","2"
"97","6","2012","1","3"
"98","6","2011","1","4"
"99","6","2010","1","3"
"100","6","2009","1","2"
"101","6","2008","1","1"
"102","6","2007","1","2"
"103","7","2023","1","7"
"104","7","2022","1","7"
"105","7","2021","1","7"
"106","7","2020","1","7"
"107","7","2019","1","5"
"108","7","2018","1","6"
"109","7","2017","1","6"
"110","7","2016","1","5"
"111","7","2015","1","8"
"112","7","2014","2","3"
"113","7","2013","2","2"
"114","7","2012","2","2"
"115","7","2011","2","4"
"116","7","2010","2","5"
"117","7","2009","2","7"
"118","7","2008","2","7"
"119","7","2007","2","6"
"120","8","2023","2","4"
"121","8","2022","1","8"
"122","8","2021","2","1"
"123","8","2020","2","6"
"124","8","2019","2","2"
"125","8","2018","3","2"
"126","8","2017","3","3"
"127","8","2016",NULL,NULL
"128","8","2015","2","2"
"129","8","2014","3","1"
"130","8","2013","2","6"
"131","8","2012","2","6"
"132","8","2011","3","3"
"133","8","2010","3","3"
"134","8","2009","2","8"
"135","8","2008","2","3"
"136","8","2007","2","2"
"137","9","2023","1","8"
"138","9","2022","2","1"
"139","9","2021","2","2"
"140","9","2020","3","1"
"141","9","2019","3","4"
"142","9","2018","3","7"
"143","9","2017","3","5"
"144","9","2016","2","9"
"145","9","2015","3","4"
"146","9","2014","3","3"
"147","9","2013","3","4"
"148","9","2012","3","6"
"149","9","2011","3","8"
"150","9","2010","3","7"
"151","9","2009","3","3"
"152","9","2008","3","6"
"153","9","2007","3","6"
"154","10","2023","2","3"
"155","10","2022","2","3"
"156","10","2021","2","5"
"157","10","2020","2","7"
"158","10","2019","3","1"
"159","10","2018","3","6"
"160","10","2017","2","8"
"161","10","2016","2","8"
"162","10","2015","2","4"
"163","10","2014","2","5"
"164","10","2013","1","9"
"165","10","2012","1","6"
"166","10","2011","2","1"
"167","10","2010","1","8"
"168","10","2009","1","4"
"169","10","2008","2","1"
"170","10","2007","1","8"
"171","11","2023","2","1"
"172","11","2022","2","2"
"173","11","2021","1","8"
"174","11","2020","1","4"
"175","11","2019","1","4"
"176","11","2018","1","7"
"177","11","2017","1","4"
"178","11","2016","1","3"
"179","11","2015","1","5"
"180","11","2014","1","4"
"181","11","2013","1","1"
"182","11","2012","1","4"
"183","11","2011","1","1"
"184","11","2010","1","2"
"185","11","2009","1","1"
"186","11","2008","1","3"
"187","11","2007","1","7"
"188","12","2023","2","7"
"189","12","2022","2","4"
"190","12","2021","2","6"
"191","12","2020","2","3"
"192","12","2019","2","7"
"193","12","2018","2","5"
"194","12","2017","2","4"
"195","12","2016","2","2"
"196","12","2015","2","6"
"197","12","2014","2","2"
"198","12","2013","2","5"
"199","12","2012","2","5"
"200","12","2011","2","7"
"201","12","2010","3","1"
"202","12","2009","3","2"
"203","12","2008","3","4"
"204","12","2007","3","3"
"205","13","2023","2","5"
"206","13","2022","2","5"
"207","13","2021","3","1"
"208","13","2020",NULL,NULL
"209","13","2019",NULL,NULL
"210","13","2018",NULL,NULL
"211","13","2017",NULL,NULL
"212","13","2016",NULL,NULL
"213","13","2015",NULL,NULL
"214","13","2014",NULL,NULL
"215","13","2013",NULL,NULL
"216","13","2012",NULL,NULL
"217","13","2011",NULL,NULL
"218","13","2010",NULL,NULL
"219","13","2009",NULL,NULL
"220","13","2008",NULL,NULL
"221","13","2007",NULL,NULL
"222","14","2023","2","6"
"223","14","2022","2","6"
"224","14","2021","2","4"
"225","14","2020","2","4"
"226","14","2019","2","5"
"227","14","2018","2","6"
"228","14","2017","2","2"
"229","14","2016","2","6"
"230","14","2015","3","1"
"231","14","2014","1","8"
"232","14","2013","2","1"
"233","14","2012","1","10"
"234","14","2011","2","2"
"235","14","2010","2","2"
"236","14","2009","1","8"
"237","14","2008","2","2"
"238","14","2007","2","3"
"239","15","2023","2","2"
"240","15","2022","2","7"
"241","15","2021","2","3"
"242","15","2020","1","8"
"243","15","2019","2","1"
"244","15","2018","2","2"
"245","15","2017","1","8"
"246","15","2016","1","6"
"247","15","2015","2","3"
"248","15","2014","2","7"
"249","15","2013","3","1"
"250","15","2012","3","2"
"251","15","2011","2","6"
"252","15","2010","2","7"
"253","15","2009","2","6"
"254","15","2008","2","6"
"255","15","2007","2","4"
"256","16","2023","2","8"
"257","16","2022","3","1"
"258","16","2021","3","6"
"259","16","2020","3","3"
"260","16","2019","3","2"
"261","16","2018","3","5"
"262","16","2017","3","4"
"263","16","2016",NULL,NULL
"264","16","2015",NULL,NULL
"265","16","2014",NULL,NULL
"266","16","2013",NULL,NULL
"267","16","2012",NULL,NULL
"268","16","2011","2","8"
"269","16","2010","2","6"
"270","16","2009","2","5"
"271","16","2008","2","4"
"272","16","2007","2","5"
"273","17","2023","3","2"
"274","17","2022","2","8"
"275","17","2021","2","7"
"276","17","2020","2","2"
"277","17","2019","2","3"
"278","17","2018","2","3"
"279","17","2017","3","1"
"280","17","2016",NULL,NULL
"281","17","2015","2","7"
"282","17","2014","2","4"
"283","17","2013","1","10"
"284","17","2012","2","1"
"285","17","2011","2","3"
"286","17","2010","2","3"
"287","17","2009","2","4"
"288","17","2008","3","1"
"289","17","2007","2","8"
"290","18","2023","3","3"
"291","18","2022","3","2"
"292","18","2021","3","2"
"293","18","2020","3","2"
"294","18","2019","3","3"
"295","18","2018","3","4"
"296","18","2017","3","6"
"297","18","2016","2","10"
"298","18","2015",NULL,NULL
"299","18","2014","3","6"
"300","18","2013","3","3"
"301","18","2012","3","4"
"302","18","2011","3","4"
"303","18","2010","3","6"
"304","18","2009","3","5"
"305","18","2008","3","5"
"306","18","2007","3","4"
"307","19","2023","3","7"
"308","19","2022","3","3"
"309","19","2021","3","3"
"310","19","2020","3","5"
"311","19","2019","3","6"
"312","19","2018","3","3"
"313","19","2017","3","7"
"314","19","2016","2","11"
"315","19","2015","3","5"
"316","19","2014","3","5"
"317","19","2013","2","7"
"318","19","2012","3","1"
"319","19","2011","3","7"
"320","19","2010","3","4"
"321","19","2009","3","7"
"322","19","2008","2","8"
"323","19","2007","3","1"
"324","20","2023","3","5"
"325","20","2022","3","4"
"326","20","2021","3","4"
"327","20","2020","2","8"
"328","20","2019","2","6"
"329","20","2018","2","4"
"330","20","2017","2","3"
"331","20","2016","2","1"
"332","20","2015","2","1"
"333","20","2014","2","6"
"334","20","2013","2","3"
"335","20","2012","2","4"
"336","20","2011","2","5"
"337","20","2010","2","4"
"338","20","2009","2","2"
"339","20","2008","2","5"
"340","20","2007","3","2"
"341","21","2023","3","1"
"342","21","2022","3","5"
"343","21","2021","3","5"
"344","21","2020","3","4"
"345","21","2019",NULL,NULL
"346","21","2018","3","1"
"347","21","2017","2","7"
"348","21","2016","2","4"
"349","21","2015","1","7"
"350","21","2014","2","1"
"351","21","2013","1","8"
"352","21","2012","1","7"
"353","21","2011","1","5"
"354","21","2010","2","1"
"355","21","2009","2","3"
"356","21","2008","1","7"
"357","21","2007","1","4"
"358","22","2023","3","4"
"359","22","2022","3","6"
"360","22","2021","2","8"
"361","22","2020","2","5"
"362","22","2019","2","4"
"363","22","2018","1","8"
"364","22","2017","2","1"
"365","22","2016","1","8"
"366","22","2015","1","3"
"367","22","2014","1","3"
"368","22","2013","1","3"
"369","22","2012","1","1"
"370","22","2011","1","7"
"371","22","2010","1","5"
"372","22","2009","2","1"
"373","22","2008","1","8"
"374","22","2007","1","6"
"375","23","2023","3","6"
"376","23","2022","3","7"
"377","23","2021",NULL,NULL
"378","23","2020",NULL,NULL
"379","23","2019","3","5"
"380","23","2018","2","7"
"381","23","2017","2","5"
"382","23","2016","2","5"
"383","23","2015","3","2"
"384","23","2014","3","4"
"385","23","2013","3","5"
"386","23","2012","3","3"
"387","23","2011","3","1"
"388","23","2010","3","5"
"389","23","2009","3","6"
"390","23","2008",NULL,NULL
"391","23","2007",NULL,NULL
