"id","colors","racers","substitutions","results","state"
"1","y,r,w,b","1,9,3,11","0,0,0,0","-,-,-,-","1"
"2","r,w,b,y","15,6,14,7","0,0,0,0","-,-,-,-","0"
"3","y,b,w,r","5,12,2,13","0,0,0,0","-,-,-,-","0"
"4","b,y,r,w","14,4,10,6","0,0,0,0","-,-,-,-","0"
"5","r,w,b,y","11,3,12,4","0,0,0,0","-,-,-,-","0"
"6","r,w,b,y","13,2,15,1","0,0,0,0","-,-,-,-","0"
"7","w,b,y,r","7,10,5,9","0,0,0,0","-,-,-,-","0"
"8","w,r,y,b","3,13,4,14","0,0,0,0","-,-,-,-","0"
"9","r,y,b,w","9,1,10,2","0,0,0,0","-,-,-,-","0"
"10","w,r,y,b","6,11,5,12","0,0,0,0","-,-,-,-","0"
"11","b,w,r,y","12,4,9,1","0,0,0,0","-,-,-,-","0"
"12","y,b,w,r","2,15,7,11","0,0,0,0","-,-,-,-","0"
"13","b,y,r,w","10,5,13,3","0,0,0,0","-,-,-,-","0"
"14","y,r,w,b","0,0,0,0","0,0,0,0","-,-,-,-","0"
"15","r,y,b,w","0,0,0,0","0,0,0,0","-,-,-,-","0"
